,Microbe_0,Microbe_1,Microbe_2,Microbe_3,Microbe_4,Microbe_5,Microbe_6,Microbe_7,Microbe_8,Microbe_9,Microbe_10,Microbe_11,Microbe_12,Microbe_13,Microbe_14,Microbe_15,Microbe_16,Microbe_17,Microbe_18,Microbe_19,Microbe_20,Microbe_21,Microbe_22,Microbe_23,Microbe_24,Microbe_25,Microbe_26,Microbe_27,Microbe_28,Microbe_29,Microbe_30,Microbe_31,Microbe_32,Microbe_33,Microbe_34,Microbe_35,Microbe_36,Microbe_37,Microbe_38,Microbe_39,Microbe_40,Microbe_41,Microbe_42,Microbe_43,Microbe_44,Microbe_45,Microbe_46,Microbe_47,Microbe_48,Microbe_49,Microbe_50,Microbe_51,Microbe_52,Microbe_53,Microbe_54,Microbe_55,Microbe_56,Microbe_57,Microbe_58,Microbe_59,Microbe_60,Microbe_61,Microbe_62,Microbe_63,Microbe_64,Microbe_65,Microbe_66,Microbe_67,Microbe_68,Microbe_69,Microbe_70,Microbe_71,Microbe_72,Microbe_73,Microbe_74,Microbe_75,Microbe_76,Microbe_77,Microbe_78,Microbe_79,Microbe_80,Microbe_81,Microbe_82,Microbe_83,Microbe_84,Microbe_85,Microbe_86,Microbe_87,Microbe_88,Microbe_89,Microbe_90,Microbe_91,Microbe_92,Microbe_93,Microbe_94,Microbe_95,Microbe_96,Microbe_97,Microbe_98,Microbe_99,Microbe_100,Microbe_101,Microbe_102,Microbe_103,Microbe_104,Microbe_105,Microbe_106,Microbe_107,Microbe_108,Microbe_109,Microbe_110,Microbe_111,Microbe_112,Microbe_113,Microbe_114,Microbe_115,Microbe_116,Microbe_117,Microbe_118,Microbe_119,Group
Patient_10,55,61,57,52,60,52,60,64,55,34,40,62,61,58,59,55,52,57,61,43,63,53,55,61,57,59,61,53,59,56,60,61,61,55,58,57,53,60,62,50,59,37,52,58,61,60,17,55,26,62,50,57,63,28,43,34,61,42,56,54,59,55,53,60,57,55,59,37,22,37,61,60,48,57,43,62,60,59,50,50,64,57,60,60,60,57,61,50,56,62,63,18,51,24,55,62,65,48,43,19,59,60,61,49,21,62,43,54,25,24,57,54,59,55,9,47,37,52,61,51,control
Patient_11,72,71,72,62,69,61,69,70,58,49,45,72,71,65,71,63,49,71,73,43,72,60,65,72,68,70,73,60,70,69,71,74,71,61,58,68,58,69,71,60,70,44,56,73,72,70,68,68,69,72,61,63,72,43,38,48,72,45,67,66,72,47,63,71,61,61,72,44,70,42,72,72,61,70,68,73,69,70,59,65,74,66,72,72,76,63,71,47,71,71,71,67,45,66,43,71,77,58,38,68,64,64,73,61,70,69,42,69,71,70,68,62,69,49,70,40,48,60,69,68,control
Patient_12,79,60,61,58,61,54,59,60,54,44,44,62,57,55,61,53,44,59,57,43,60,47,50,57,60,57,57,51,57,79,61,58,61,56,53,61,53,51,58,54,59,45,56,58,56,60,75,62,75,57,54,67,59,40,48,37,58,44,81,64,60,46,55,59,54,51,59,45,79,40,58,59,55,55,80,58,58,58,58,67,59,81,54,59,56,55,57,45,57,55,58,79,54,79,47,58,57,58,45,80,52,51,57,53,78,57,47,58,77,77,58,56,59,46,59,47,41,56,59,48,control
Patient_13,55,65,64,56,66,64,61,66,63,39,48,67,63,60,64,61,45,61,64,46,61,49,59,58,66,61,59,59,64,57,64,55,66,59,59,64,58,65,64,58,64,46,61,61,60,62,27,50,25,64,60,58,63,45,43,41,63,44,55,53,63,41,58,60,60,57,58,42,36,45,58,59,61,56,45,63,69,65,58,48,63,56,57,60,58,63,60,39,59,62,63,36,37,37,42,63,58,60,47,13,60,54,60,65,35,64,46,53,22,16,66,59,66,42,13,51,48,60,61,63,control
Patient_14,71,58,61,68,60,68,61,57,70,50,45,60,58,74,58,67,45,63,61,46,62,53,70,64,58,62,64,68,60,70,57,68,61,66,69,56,68,67,61,69,60,47,67,62,60,60,70,77,72,62,72,73,63,45,48,46,63,45,72,76,61,51,76,59,74,71,63,46,71,43,63,64,71,65,71,61,58,58,70,73,62,72,63,62,66,67,65,42,63,63,61,72,44,71,46,60,65,72,44,73,71,70,64,70,70,61,41,77,71,71,60,69,60,43,79,45,44,70,62,79,control
Patient_15,73,58,57,65,60,68,66,58,69,38,34,56,61,63,60,64,47,60,62,40,59,48,66,63,59,61,64,65,60,75,60,69,63,68,64,55,64,67,61,68,63,31,61,59,63,59,74,66,76,61,69,66,64,38,43,44,61,42,72,65,63,42,69,61,63,65,63,40,69,42,60,63,68,64,77,58,59,56,66,61,59,73,63,64,60,61,66,53,66,66,60,74,48,75,44,60,63,66,42,74,64,63,66,70,74,60,50,66,74,76,64,60,58,45,64,43,44,67,61,59,control
Patient_16,68,44,44,64,44,65,46,43,66,48,40,45,48,61,47,63,47,46,44,46,43,41,58,46,49,44,47,61,46,69,46,41,45,61,63,47,55,65,44,62,47,42,67,44,47,48,66,66,72,46,61,64,42,46,43,44,47,45,69,65,46,42,59,48,65,61,52,47,61,46,47,45,60,52,70,47,48,47,61,64,47,71,43,48,46,64,47,47,49,46,45,68,39,70,38,47,44,61,45,69,63,63,45,65,70,46,44,63,64,67,46,62,44,41,62,42,43,63,49,67,control
Patient_17,51,54,56,63,57,62,63,58,61,49,47,56,58,60,56,64,47,59,61,47,63,52,62,60,58,58,61,62,57,47,62,62,58,62,60,58,59,55,60,65,61,42,60,60,65,56,44,48,44,58,62,44,61,51,45,53,60,47,47,46,60,47,60,61,59,60,61,49,44,47,59,60,63,60,40,60,59,58,60,51,57,43,63,61,58,59,62,47,59,63,58,42,45,50,46,60,62,62,56,54,57,61,62,67,41,59,44,49,57,42,59,59,56,43,43,52,46,63,59,59,control
Patient_18,62,63,62,53,63,55,59,63,54,44,45,65,64,56,66,55,50,58,63,34,61,48,54,61,62,61,62,54,59,61,64,58,64,55,54,62,54,61,64,53,59,44,52,62,67,64,62,61,59,64,53,61,61,39,39,38,62,41,58,62,64,47,48,61,57,56,58,41,59,45,64,60,51,56,57,63,65,63,52,65,64,61,62,60,57,59,59,45,59,63,63,55,47,60,48,65,62,51,44,58,56,59,61,54,61,64,40,57,59,60,62,56,62,52,55,37,44,52,62,51,control
Patient_19,79,57,58,64,59,66,62,61,70,47,42,58,59,67,56,64,45,61,59,49,62,52,65,65,58,61,65,66,57,79,61,65,58,67,66,56,63,55,58,62,65,49,63,62,58,57,82,83,88,60,65,78,64,53,49,43,64,43,79,79,58,39,65,61,70,65,61,49,73,48,62,65,60,63,83,57,57,55,61,71,57,83,62,63,56,68,67,40,64,61,60,77,40,81,41,60,62,69,44,78,68,66,66,58,80,61,45,86,75,83,57,66,54,44,84,46,39,62,64,64,control
Patient_20,57,60,57,74,59,69,64,56,72,47,40,61,59,64,59,69,39,57,58,46,61,53,70,71,61,59,66,73,60,61,62,66,58,69,64,58,68,63,58,71,63,47,72,60,61,60,34,55,25,57,72,61,63,44,43,47,63,43,54,55,60,36,74,62,67,67,66,43,26,50,62,63,75,66,45,59,53,56,74,54,62,57,61,65,60,68,69,48,62,60,60,34,40,30,39,60,61,76,50,46,65,68,62,66,34,59,49,54,37,33,56,69,54,42,43,43,47,72,62,60,control
Patient_21,86,57,59,57,57,60,58,60,59,50,46,59,56,59,57,60,49,56,55,47,58,51,59,56,61,56,56,59,54,87,60,54,58,62,60,62,61,56,58,55,58,48,63,54,57,60,87,76,83,58,56,84,56,47,41,47,60,42,85,79,58,52,57,60,61,60,57,47,88,45,60,57,58,58,82,58,60,60,59,82,57,86,55,58,58,62,56,47,56,58,53,86,46,86,43,59,55,55,50,83,61,61,53,56,84,59,47,74,88,85,58,60,60,46,71,47,43,56,58,61,control
Patient_22,73,68,68,43,65,44,57,68,45,49,48,68,63,44,66,44,51,63,66,47,59,48,42,58,67,62,58,44,61,72,65,51,67,44,43,66,46,35,63,40,60,45,42,62,60,65,76,75,69,64,41,76,61,47,46,45,60,43,69,76,64,51,38,60,44,43,57,48,71,49,63,57,43,53,67,64,65,66,42,75,65,67,60,61,59,46,53,51,58,60,65,67,46,71,51,66,61,41,50,69,47,43,59,39,73,65,50,75,72,74,64,45,66,50,75,49,46,41,60,37,control
Patient_23,59,59,62,69,58,66,61,59,67,39,41,57,58,64,59,69,45,62,59,46,62,51,70,61,59,60,59,64,63,55,55,62,57,62,66,58,65,75,59,67,62,42,66,61,59,60,28,59,33,60,68,63,60,37,41,37,58,48,58,53,57,47,70,62,68,68,63,40,35,43,62,60,68,61,46,59,60,59,71,55,58,59,59,59,63,65,59,45,60,58,55,39,46,46,45,56,58,66,52,21,65,68,59,59,41,59,44,57,25,29,58,70,57,45,26,53,39,70,61,71,control
Patient_24,65,51,52,50,57,52,55,60,51,45,55,60,54,52,53,55,35,53,56,50,51,38,55,50,55,55,53,53,59,66,56,55,57,56,53,52,52,55,57,51,54,45,52,53,54,55,68,74,63,58,59,83,57,49,47,47,56,48,67,84,57,37,54,54,54,55,50,47,70,46,52,54,56,54,60,54,55,53,55,80,55,63,53,56,55,53,53,32,54,54,55,66,37,65,35,53,53,54,41,63,54,54,53,52,63,55,43,79,68,65,58,55,57,35,74,47,46,54,51,48,control
Patient_25,70,52,57,61,54,65,60,54,65,33,35,55,54,65,52,64,34,58,55,50,58,47,64,61,55,57,61,68,56,70,56,62,56,66,65,55,65,60,57,67,59,38,65,60,56,56,74,74,71,57,68,75,60,39,45,33,60,45,68,77,55,33,70,60,66,66,64,35,68,38,59,62,68,63,73,57,53,54,66,74,55,70,60,61,61,64,63,46,59,59,52,69,53,71,39,54,60,67,49,69,64,68,60,61,69,57,43,76,68,70,55,67,55,40,71,52,31,65,59,69,control
Patient_26,71,68,68,45,66,43,65,68,43,35,40,68,68,41,68,44,49,66,69,43,66,49,42,60,73,67,60,42,61,72,62,58,64,45,43,72,48,55,65,45,63,44,46,66,65,68,73,88,68,67,42,88,63,40,49,34,67,47,68,91,67,47,45,64,45,42,62,44,72,49,64,63,42,57,66,63,70,71,45,86,65,69,63,65,64,44,58,52,62,62,64,67,55,69,51,63,62,43,46,67,44,42,62,42,71,64,51,93,74,71,73,43,70,53,91,48,44,42,64,33,control
Patient_27,55,68,64,57,65,53,65,71,58,37,37,71,66,54,67,51,56,59,69,41,66,51,52,60,63,64,64,56,61,45,64,63,66,61,51,65,51,65,69,56,63,40,51,67,65,65,38,36,37,67,53,44,68,37,45,35,68,48,58,41,68,59,54,64,51,51,61,41,36,44,62,65,54,59,42,63,59,62,58,39,69,47,66,68,65,50,61,49,65,61,65,35,54,27,61,64,66,53,40,25,47,50,65,55,36,63,48,57,31,32,65,55,68,57,37,49,38,58,60,49,control
Patient_28,76,72,66,69,69,67,75,71,67,44,46,72,65,59,70,66,52,69,68,47,76,61,67,75,65,73,74,67,67,76,72,76,69,70,60,68,67,51,72,65,72,47,65,74,73,68,74,66,81,69,64,70,74,46,46,49,71,47,86,66,67,51,64,74,64,66,73,44,75,49,73,75,65,70,81,67,69,65,67,68,70,81,74,74,67,71,74,58,71,75,71,85,48,81,54,73,74,65,52,85,64,68,75,65,78,71,50,62,71,79,64,66,67,56,63,55,41,67,74,55,control
Patient_29,69,67,64,62,66,67,62,68,65,50,53,64,61,59,63,63,40,68,67,46,68,55,59,67,68,65,63,63,60,71,67,59,64,60,61,66,64,57,64,56,63,49,61,67,63,65,70,82,65,67,63,77,63,51,44,59,65,52,69,79,63,37,68,67,68,61,61,51,72,47,63,67,63,62,68,65,64,66,65,79,62,66,63,64,62,66,65,46,62,66,63,69,37,68,46,65,63,65,43,69,63,59,64,59,69,68,42,83,73,68,69,63,66,35,83,42,50,64,66,50,control
Patient_30,64,64,61,54,62,56,52,65,61,41,41,62,64,61,61,57,43,63,65,36,56,53,56,56,64,57,55,55,59,65,58,52,63,55,59,60,51,56,60,53,59,40,55,55,58,63,64,69,58,65,56,69,58,35,41,36,56,40,66,68,59,48,56,56,64,56,51,41,66,43,56,54,56,55,69,65,65,65,58,75,65,63,55,53,59,58,55,45,60,59,63,67,44,63,44,63,57,63,37,68,61,55,57,56,63,63,42,70,66,62,68,56,65,41,67,42,47,56,60,65,control
Patient_31,69,58,58,59,56,59,59,56,61,50,54,58,55,63,56,66,39,60,57,43,61,50,65,64,54,61,61,59,58,70,59,65,57,57,65,55,63,65,60,57,60,46,57,61,62,58,68,65,70,56,58,64,58,51,48,45,60,47,69,64,55,40,54,59,63,63,63,51,69,54,64,61,54,60,72,58,58,55,56,65,59,71,61,59,58,65,65,42,62,59,57,72,37,69,35,57,62,56,44,72,69,68,62,53,69,60,44,66,73,68,53,64,53,41,68,44,47,57,63,72,control
Patient_32,59,61,59,59,63,65,54,61,68,48,50,61,64,66,58,65,42,61,63,47,59,52,69,57,60,59,59,63,62,64,61,61,63,62,67,58,62,68,61,58,60,40,63,58,60,64,19,65,24,65,63,60,62,47,45,47,61,48,63,58,62,46,65,59,69,65,55,48,36,45,60,57,61,62,51,64,62,59,62,60,65,63,60,58,65,67,60,44,63,56,63,28,51,28,46,61,62,63,47,43,70,65,58,62,42,63,45,60,50,42,63,62,64,43,58,50,53,61,61,67,control
Patient_33,55,57,59,69,57,69,62,60,69,38,39,57,56,69,58,67,43,62,54,49,63,52,68,62,57,62,65,67,59,67,56,67,58,64,69,61,64,72,59,68,60,38,67,61,56,57,19,68,28,59,69,65,58,43,49,39,61,47,53,71,57,40,71,58,71,69,63,41,27,43,57,63,69,66,49,57,60,58,71,67,57,66,61,63,60,67,67,49,61,61,56,37,41,33,53,57,58,71,53,37,66,67,61,68,33,61,49,52,42,42,56,68,56,56,41,52,39,70,61,59,control
Patient_34,86,50,52,71,54,71,55,49,69,54,52,49,50,72,54,69,47,54,51,43,53,45,69,57,50,53,53,70,56,86,53,55,55,68,67,50,70,67,51,69,52,51,70,55,52,52,89,80,90,53,70,76,57,55,52,58,51,49,89,75,55,47,71,55,70,72,53,52,85,55,54,55,68,60,92,54,51,50,71,74,52,90,53,52,55,69,56,42,52,56,50,90,41,92,47,55,53,71,41,90,69,70,52,69,86,51,46,78,85,89,51,71,48,47,77,46,50,71,50,59,control
Patient_35,58,57,57,67,59,63,56,53,64,55,51,53,59,66,57,69,50,63,52,50,54,51,69,60,58,58,55,67,59,49,59,57,56,63,68,58,68,62,50,62,59,50,69,56,59,56,37,57,40,53,66,57,54,59,53,55,55,48,60,55,56,47,66,59,70,66,60,55,32,57,58,53,64,62,48,61,57,57,64,56,58,49,55,56,57,70,57,47,55,58,54,39,43,39,46,59,56,68,56,36,71,69,57,68,42,57,53,55,28,28,57,69,53,53,24,53,42,66,63,72,control
Patient_36,81,64,68,57,68,61,67,65,60,41,42,66,67,60,66,60,54,64,67,49,63,53,61,65,67,65,67,60,65,80,63,64,67,62,61,67,60,57,65,62,66,43,59,62,64,68,81,84,74,66,56,81,66,44,43,34,68,42,71,84,66,57,59,66,60,61,65,39,81,35,66,65,56,65,75,67,69,67,58,82,67,74,63,66,69,58,65,54,66,67,66,71,51,75,55,66,68,59,45,70,60,60,66,63,78,65,44,88,81,80,69,57,63,56,85,47,34,61,67,66,control
Patient_37,60,55,55,63,53,64,59,52,66,53,45,53,51,62,56,67,38,58,52,49,59,49,68,61,54,58,57,65,52,54,56,57,53,59,66,53,67,47,52,64,58,52,64,55,54,53,36,47,33,54,65,50,57,48,46,51,55,47,61,49,50,40,64,62,67,66,57,51,35,51,55,59,65,57,46,56,49,52,63,48,52,46,56,56,56,65,58,39,57,55,54,33,43,32,36,52,55,66,45,26,66,66,58,63,35,57,56,62,29,31,49,65,51,43,24,39,47,66,64,58,control
Patient_38,72,64,65,57,68,60,61,67,56,43,40,68,66,59,65,62,38,63,67,46,64,51,59,63,67,64,60,56,65,74,68,58,68,58,59,66,58,51,67,56,64,40,56,63,67,65,69,77,73,66,58,76,66,44,44,40,63,43,74,74,67,43,54,64,60,60,58,44,70,41,64,61,54,59,77,68,68,63,57,76,66,75,62,63,62,60,61,40,59,63,67,75,38,73,43,66,66,54,45,76,56,64,64,58,73,66,42,73,72,71,64,60,65,33,75,40,47,53,63,56,control
Patient_39,58,64,58,50,61,51,58,64,52,53,54,65,61,55,60,53,40,61,63,46,60,50,53,58,60,59,60,53,58,72,64,57,59,54,53,57,49,57,60,48,62,49,48,62,65,62,29,66,31,62,52,62,60,49,52,53,60,44,60,65,62,37,49,62,57,55,58,49,28,52,61,58,48,56,48,63,59,60,50,63,63,63,62,59,56,59,62,42,56,57,64,31,42,27,34,61,65,49,42,55,61,57,63,45,33,63,41,56,52,35,59,52,63,38,45,39,45,48,61,51,control
Patient_40,77,62,62,59,66,63,55,61,61,43,41,64,64,62,63,65,50,61,63,33,61,48,62,58,61,57,56,58,64,77,64,56,64,58,59,63,67,53,58,58,60,33,63,59,59,61,79,81,79,60,59,79,56,32,39,28,58,40,80,82,64,55,61,58,68,61,59,36,75,38,58,54,59,57,78,62,68,67,61,82,61,79,57,56,63,66,59,50,60,61,62,77,50,79,56,63,57,60,45,75,66,67,59,63,76,62,40,85,74,78,62,62,66,55,81,43,44,61,59,71,control
Patient_41,75,72,68,57,66,55,63,69,54,57,60,73,65,60,69,59,48,66,71,53,70,53,61,61,67,68,58,56,64,73,66,56,67,58,57,68,62,52,68,52,63,60,54,69,71,70,70,78,71,69,54,76,68,56,57,53,64,52,74,80,67,57,56,69,59,58,60,62,71,57,69,61,55,57,67,67,65,69,55,80,67,72,66,63,65,64,60,42,59,68,67,71,44,71,48,71,69,52,51,70,61,61,62,57,74,68,45,74,74,71,66,60,69,49,77,48,60,55,67,59,control
Patient_42,62,57,59,54,59,57,60,60,57,38,38,56,58,57,58,55,51,55,55,42,58,49,55,55,54,58,61,57,64,60,57,58,57,58,58,57,54,57,59,54,60,40,56,57,53,57,63,68,62,58,55,65,58,40,48,39,58,37,59,67,58,52,54,57,54,56,61,37,59,37,58,56,54,61,56,60,58,58,55,61,57,61,57,60,58,59,58,45,60,59,58,57,48,59,47,53,58,53,40,56,54,58,58,58,61,57,45,74,63,61,57,57,57,50,73,45,45,57,58,57,control
Patient_43,72,68,64,64,63,63,63,65,65,42,49,63,64,61,65,63,42,62,62,50,65,53,63,66,64,64,63,65,60,77,63,62,60,65,65,65,58,65,64,64,65,37,66,69,66,67,72,88,73,64,62,90,64,46,43,45,66,39,74,88,61,44,67,67,66,64,67,45,78,41,66,66,62,60,74,60,61,64,65,88,60,69,63,62,60,66,64,42,65,59,59,76,36,73,37,65,65,66,46,75,64,64,65,56,72,62,45,89,77,70,61,68,61,38,88,47,46,64,67,66,control
Patient_44,89,64,64,56,65,60,63,63,59,42,47,64,64,60,64,60,41,66,65,40,64,50,59,63,65,65,63,57,62,88,62,63,63,56,61,64,60,61,66,61,64,42,55,64,65,65,88,71,90,65,59,71,63,39,37,32,63,45,91,70,65,45,56,65,58,61,64,39,83,40,62,64,57,61,87,64,64,63,61,74,62,92,62,64,64,60,64,42,66,63,66,91,44,92,45,63,63,58,49,88,61,59,65,58,89,63,37,66,83,89,64,61,62,47,65,39,46,57,64,60,control
Patient_45,65,48,51,71,51,71,52,47,71,35,35,46,52,81,48,72,50,57,46,37,51,50,69,56,49,52,53,71,50,67,51,59,50,65,76,51,69,63,49,68,52,29,70,51,48,49,68,76,62,50,69,74,51,31,33,28,49,38,63,76,49,46,71,49,78,70,55,34,67,39,52,55,68,60,65,53,51,48,72,74,50,61,52,56,54,69,58,42,55,52,50,63,51,65,50,48,52,71,35,62,79,72,52,71,64,52,31,75,66,64,50,74,48,42,71,33,31,70,53,78,control
Patient_46,55,55,52,52,55,51,62,58,52,45,46,60,53,51,54,51,55,56,59,42,58,44,52,56,50,58,59,52,58,57,56,63,57,54,50,52,49,60,62,50,53,40,41,59,57,55,56,72,53,58,50,72,61,42,45,46,57,47,54,75,58,57,47,56,51,51,57,44,61,43,58,63,48,55,57,52,58,53,53,75,55,54,61,58,57,51,59,50,58,60,56,54,57,54,47,54,59,46,37,55,49,50,58,44,55,55,45,74,62,56,54,53,55,56,76,39,46,51,53,45,control
Patient_47,63,62,61,54,63,52,58,61,56,46,43,60,59,50,62,50,50,63,58,46,61,48,49,59,59,61,57,52,60,66,62,62,60,56,49,57,49,51,61,51,59,36,50,63,59,60,64,55,64,62,50,61,63,36,43,42,58,42,67,57,61,44,54,60,52,50,57,43,64,41,61,61,51,56,71,59,60,61,55,59,60,63,61,59,61,52,58,44,60,60,58,68,43,64,53,60,62,53,50,69,51,52,60,53,64,59,48,52,65,63,60,53,60,46,55,48,39,54,61,40,control
Patient_48,82,59,61,61,64,57,61,61,58,33,38,60,61,62,63,59,51,63,63,45,62,55,61,60,62,61,59,56,60,80,63,62,66,58,59,63,61,56,62,57,60,28,60,63,62,63,82,70,88,61,57,71,62,32,41,20,61,44,86,71,65,39,60,62,58,59,60,34,74,32,63,63,57,61,85,60,64,63,59,71,61,87,60,61,64,61,60,56,62,66,56,81,54,87,53,60,62,58,52,81,62,59,60,58,84,59,48,68,75,85,60,61,61,49,68,46,36,59,61,65,control
